AGAF, Afutara Aerodrome
EDAJ, Gera-Leumnitz Airport
EDAK, Grosenhain Airport
EDAM, Merseburg Airport
EDAN, Neustadt-Glewe Airport
EDAO, Nordhausen Airport
EDAP, Neuhausen Airport
EDAQ, Halle-Oppin Airport
EDAR, Pirna-Pratzschwitz Airport
EDAS, Finsterwalde/Heinrichsruh Airport
EDAT, Nardt Airport
EDAU, Riesa-Gohlis Airport
EDAV, Eberswalde-Finow Airport
EDAW, Roitzschjora Airport
EDAX, Rechlin-Larz Airport
EDAY, Strausberg Airport
EDAZ, Schonhagen Airport
EDBA, Arnstadt-Alkersleben Airport
EDBC, Cochstedt Airport
EDBD, Emmel Airfield Dedelow Airport
EDBE, Brandenburg-Muhlenfeld Airport
EDBF, Ruppiner Land Airport
EDBG, Burg Airport
EDBH, Barth Airport
EDBI, Zwickau Airport
EDBJ, Jena-Schongleina Airport
EDBK, Kyritz Airport
EDBL, Laucha Airport
EDBM, Magdeburg Airport
EDBO, Oehna Airport
EDBP, Pinnow Airport
EDBQ, Bronkow Airport
EDBR, Rothenburg/Gorlitz Airport
EDBS, Sommerda-Dermsdorf Airport
EDBT, Allstedt Airport
EDBU, Pritzwalk-Sommersberg Airport
EDBV, Stralsund Airport
EDBW, Werneuchen Airport
EDBX, Gorlitz Airport
EDBY, Schmoldow Airport
EDBZ, Schwarzheide/Schipkau Airport
EDCA, Anklam Airport
EDCB, Ballenstedt Airport
EDCD, Cottbus-Drewitz Airport
EDCE, Eggersdorf Airport
EDCF, Friedersdorf Airport
EDCG, Rugen Airport
EDCH, Sprossen Airport
EDCI, Klix Airport
EDCJ, Chemnitz/Jahnsdorf Airport
EDCK, Kothen Airport
EDCL, Klietz/Scharlibbe Airport
EDCM, Kamenz Airport
EDCN, Nauen Airport
EDCO, Obermehler-Schlotheim Airport
EDCP, Peenemunde Airport
EDCQ, Aschersleben Airport
EDCR, Rerik-Zweedorf Airport
EDCS, Saarmund Airport
EDCT, Taucha Airport
EDCU, Gustrow Airport
EDCV, Pasewalk Airport
EDCW, Wismar Airport
EDCX, Purkshof Airport
EDCY, Spremberg-Welzow Airport
EDDB, Berlin-Schonefeld International Airport
EDDC, Dresden Airport
EDDE, Erfurt Airport
EDDF, Frankfurt am Main International Airport
EDDG, Munster Osnabruck Airport
EDDH, Hamburg Airport
EDDK, Cologne Bonn Airport
EDDL, Dusseldorf International Airport
EDDM, Munich International Airport
EDDN, Nuremberg Airport
EDDP, Leipzig Halle Airport
EDDR, Saarbrucken Airport
EDDS, Stuttgart Airport
EDDT, Berlin-Tegel International Airport
EDDV, Hannover Airport
EDDW, Bremen Airport
EDEB, Bad Langensalza Airport
EDEF, Babenhausen Airport
EDEG, Gotha-Ost Airport
EDEH, Herrenteich Airport
EDEL, Langenlonsheim Airport
EDEM, Mosenberg Airport
EDEP, Heppenheim Airport
EDEQ, Muhlhausen Airport
EDER, Wasserkuppe Airport
EDEW, Walldurn Airport
EDFA, Anspach/Taunus Airport
EDFB, Reichelsheim Airport
EDFC, Aschaffenburg Airport
EDFD, Bad Neustadt/Saale-Grasberg Airport
EDFE, Frankfurt-Egelsbach Airport
EDFG, Gelnhausen Airport
EDFH, Frankfurt-Hahn Airport
EDFI, Hirzenhain Airport
EDFJ, Lager Hammelburg Airport
EDFK, Bad Kissingen Airport
EDFL, Giesen-Lutzellinden Airport
EDFM, Mannheim-City Airport
EDFN, Marburg-Schonstadt Airport
EDFO, Michelstadt/Odenwald Airport
EDFP, Ober-Morlen Airport
EDFQ, Allendorf/Eder Airport
EDFR, Rothenburg o. d. T. Airport
EDFS, Schweinfurt-Sud Airport
EDFT, Lauterbach Airport
EDFU, Mainbullau Airport
EDFV, Worms Airport
EDFW, Wurzburg-Schenkenturm Airport
EDFX, Hockenheim Airport
EDFY, Elz Airport
EDFZ, Mainz-Finthen Airport
EDGA, Ailertchen Airport
EDGB, Breitscheid Airport
EDGE, Eisenach-Kindel Airport
EDGF, Fulda-Jossa Airport
EDGH, Hettstadt Airport
EDGI, Ingelfingen-Buhlhof Airport
EDGJ, Ochsenfurt Airport
EDGK, Korbach Airport
EDGL, Ludwigshafen Airfield
EDGM, Mosbach-Lohrbach Airport
EDGP, Oppenheim Airport
EDGQ, Schameder Airport
EDGR, Giesen-Reiskirchen Airport
EDGS, Siegerland Airport
EDGT, Bottenhorn Airport
EDGU, Unterschupf Airport
EDGW, Wolfhagen „Graner Berg“ Airport
EDGX, Walldorf Airport
EDGZ, Weinheim/Bergstrase Airport
EDHB, Grube Airport
EDHC, Luchow-Rehbeck Airport
EDHE, Uetersen/Heist Airport
EDHF, Itzehoe/Hungriger Wolf Airport
EDHG, Luneburg Airport
EDHI, Hamburg-Finkenwerder Airport
EDHK, Kiel-Holtenau Airport
EDHL, Lubeck Blankensee Airport
EDHM, Hartenholm Airport
EDHN, Neumunster Airport
EDHO, Ahrenlohe Airport
EDHP, Pellworm Airport
EDHS, Stade Airport
EDHU, Lauenbruck Airport
EDHW, Wahlstedt Airport
EDJA, Memmingen Allgau Airport
EDKA, Aachen-Merzbruck Airport
EDKB, Bonn-Hangelar Airport
EDKD, Altena-Hegenscheid Airport
EDKF, Bergneustadt/Auf dem Dumpel Airport
EDKH, Hunsborn Airport
EDKI, Betzdorf-Kirchen Airport
EDKL, Leverkusen Airport
EDKM, Meschede-Schuren Airport
EDKN, Wipperfurth-Neye Airport
EDKO, Brilon/Hochsauerlandkreis Airport
EDKP, Plettenberg-Huinghausen Airport
EDKR, Schmallenberg-Rennefeld Airport
EDKU, Attendorn-Finnentrop Airport
EDKV, Dahlemer Binz Airport
EDKW, Werdohl-Kuntrop Airport
EDKZ, Meinerzhagen Airport
EDLA, Arnsberg-Menden Airport
EDLB, Borkenberge Airport
EDLC, Kamp-Lintfort Airport
EDLD, Dinslaken/Schwarze Heide Airport
EDLE, Essen Mulheim Airport
EDLF, Grefrath-Niershorst Airport
EDLG, Goch-Asperden Airport
EDLH, Hamm-Lippewiesen Airport
EDLI, Bielefeld Airport
EDLJ, Detmold Airport
EDLK, Krefeld-Egelsberg Airport
EDLM, Marl-Loemuhle Airport
EDLN, Monchengladbach Airport
EDLO, Oerlinghausen Airport
EDLP, Paderborn Lippstadt Airport
EDLR, Paderborn-Haxterberg Airport
EDLS, Stadtlohn-Vreden Airport
EDLT, Munster-Telgte Airport
EDLU, Oelde Bergeler Airport
EDLV, Niederrhein Airport
EDLW, Dortmund Airport
EDLX, Wesel-Romerwardt Airport
EDLY, Borken-Hoxfeld Airport
EDLZ, Soest/Bad Sassendorf Airport
EDMA, Augsburg Airport
EDMB, Biberach a.d. Ris Airport
EDMC, Blaubeuren Airport
EDMD, Dachau-Grobenried Airport
EDME, Eggenfelden Airport
EDMF, Furstenzell Airport
EDMG, Gunzburg-Donauried Airport
EDMH, Gunzenhausen-Reutberg Airport
EDMI, Illertissen Airport
EDMJ, Jesenwang Airport
EDMK, Kempten-Durach Airport
EDML, Landshut Airport
EDMN, Mindelheim-Mattsies Airport
EDMO, Oberpfaffenhofen Airport
EDMP, Vilsbiburg Airport
EDMQ, Donauworth-Genderkingen Airport
EDMS, Straubing Airport
EDMT, Tannheim Airport
EDMU, Gundelfingen Airport
EDMV, Vilshofen Airport
EDMW, Deggendorf Airport
EDMY, Muhldorf Airport
EDNA, Ampfing-Waldkraiburg Airport
EDNB, Arnbruck Airport
EDNC, Beilngries Airport
EDND, Dinkelsbuhl-Sinbronn Airport
EDNE, Erbach Airport
EDNF, Elsenthal Grafe Airport
EDNG, Giengen/Brenz Airport
EDNH, Bad Worishofen-Nord Airport
EDNI, Berching Airport
EDNJ, Neuburg-Egweil Airport
EDNK, Kirchdorf/Inn Airport
EDNL, Leutkirch-Unterzeil Airport
EDNM, Nittenau-Bruck Airport
EDNO, Nordlingen Airport
EDNP, Pfarrkirchen Airport
EDNQ, Bopfingen Airport
EDNR, Regensburg-Oberhub Airport
EDNS, Schwabmunchen Airport
EDNT, Treuchtlingen-Bubenheim Airport
EDNU, Thannhausen Airport
EDNV, Vogtareuth Airport
EDNW, Weisenhorn Airport
EDNX, Oberschleisheim Airfield
EDNY, Friedrichshafen Airport
EDNZ, Zell-Haidberg Airport
EDOA, Auerbach Airport
EDOB, Bad Berka Airport
EDOC, Gardelegen Airport
EDOD, Reinsdorf Airport
EDOE, Bohlen Airport
EDOF, Bad Frankenhausen Airport
EDOG, Torgau-Beilrode Airport
EDOH, Langhennersdorf Airport
EDOI, Bienenfarm Airport
EDOJ, Lusse Airport
EDOK, Rudolstadt-Groschwitz Airport
EDOL, Oschersleben Airport
EDOM, Klein Muhlingen Airport
EDON, Neuhardenberg Airport
EDOP, Schwerin Parchim Airport
EDOQ, Oschatz Airport
EDOR, Stolln-Rhinow Airport
EDOS, Pennewitz Airport
EDOT, Greiz-Obergrochlitz Airport
EDOU, Weimar-Umpferstedt Airport
EDOV, Stendal-Borstel Airport
EDOW, Waren-Vielist Airport
EDOX, Renneritz Airport
EDOZ, Schonebeck-Zackmunde Airport
EDPA, Aalen-Heidenheim/Elchingen Airport
EDPB, Bad Ditzenbach Airport
EDPC, Bad Endorf Joll Airport
EDPD, Dingolfing Airport
EDPE, Eichstatt Airport
EDPF, Schwandorf Airport
EDPG, Griesau Airport
EDPH, Schwabach-Heidenberg Airport
EDPJ, Laichingen Airport
EDPK, Schonberg Airport
EDPM, Donzdorf Airport
EDPO, Neumarkt/Obf. Airport
EDPQ, Schmidgaden Airport
EDPS, Sonnen Airport
EDPT, Gerstetten Airport
EDPU, Bartholoma-Amalienhof Airport
EDPW, Thalmassing-Waizenhofen Airport
EDPY, Ellwangen Airport
EDQB, Bad Windsheim Airport
EDQC, Coburg-Brandensteinsebene Airport
EDQD, Bayreuth Airport
EDQE, Burg Feuerstein Airport
EDQF, Ansbach-Petersdorf Airport
EDQG, Giebelstadt Airport
EDQH, Herzogenaurach Airport
EDQI, Lauf-Lillinghof Airport
EDQK, Kulmbach Airport
EDQL, Lichtenfels Airport
EDQM, Hof-Plauen Airport
EDQN, Neustadt/Aisch Airport
EDQO, Ottengruner Heide Airport
EDQP, Rosenthal-Field Plossen Airport
EDQR, Ebern-Sendelbach Airport
EDQS, Suhl-Goldlauter Airport
EDQT, Hasfurt-Schweinfurt Airport
EDQW, Weiden in der Oberpfalz Airport
EDQX, Hetzleser Berg Airport
EDQY, Coburg-Steinrucken Airport
EDQZ, Pegnitz-Zipser Berg Airport
EDRA, Bad Neuenahr-Ahrweiler Airport
EDRB, Bitburg Airport
EDRD, Neumagen-Dhron Airport
EDRF, Bad Durkheim Airport
EDRG, Idar-Oberstein/Gottschied Airport
EDRH, Hoppstadten-Weiersbach Airport
EDRI, Linkenheim Airport
EDRJ, Saarlouis-Duren Airport
EDRK, Koblenz-Winningen Airport
EDRL, Lachen-Speyerdorf Airport
EDRM, Traben-Trarbach/Mont Royal Airport
EDRN, Nannhausen Airport
EDRO, Schweighofen Airport
EDRP, Pirmasens Airport
EDRS, Bad Sobernheim-Domberg Airport
EDRT, Trier-Fohren Airport
EDRV, Wershofen/Eifel Airport
EDRW, Dierdorf-Wienau Airport
EDRY, Speyer Airport
EDRZ, Zweibrucken Airport
EDSA, Albstadt-Degerfeld Airport
EDSB, Karlsruhe Baden-Baden Airport
EDSD, Leipheim Air Base
EDSG, Grabenstetten Airport
EDSH, Backnang-Heiningen Airport
EDSI, Binningen Airport
EDSK, Kehl-Sundheim Airport
EDSL, Blumberg Airport
EDSN, Neuhausen ob Eck Airport
EDSW, Altdorf-Wallburg Airport
EDSZ, Rottweil-Zepfenhahn Airport
EDTB, Baden-Oos Airport
EDTC, Bruchsal Airport
EDTD, Donaueschingen-Villingen Airport
EDTF, Freiburg i. Br. Airport
EDTG, Bremgarten Airport
EDTH, Heubach Airport
EDTK, Karlsruhe-Forchheim Airport
EDTL, Lahr Airport
EDTM, Mengen-Hohentengen Airport
EDTN, Nabern/Teck Airport
EDTO, Offenburg Airport
EDTP, Pfullendorf Airport
EDTQ, Pattonville Airport
EDTR, Herten-Rheinfelden Airport
EDTS, Schwenningen am Neckar Airport
EDTU, Saulgau Airport
EDTW, Winzeln-Schramberg Airport
EDTX, Schwabisch Hall-Weckrieden Airport
EDTY, Adolf Wurth Airport
EDTZ, Konstanz Airport
EDUA, Stechow-Ferchesar Airport
EDUB, Brandenburg-Briest Airport
EDUC, Briesen Brand Airport
EDUF, Falkenberg-Lonnewitz Airport
EDUO, Oberrissdorf Airport
EDUS, Finsterwalde/Schacksdorf Airport
EDUW, Tutow Airport
EDUY, Welzow-Sedlitzer See Airport
EDUZ, Zerbst Airport
EDVA, Bad Gandersheim Airport
EDVC, Celle-Arloh Airport
EDVE, Braunschweig Wolfsburg Airport
EDVF, Blomberg-Borkhausen Airport
EDVG, Mengeringhausen Airport
EDVH, Hodenhagen Airport
EDVI, Hoxter-Holzminden Airport
EDVJ, Salzgitter-Schaferstuhl Airport
EDVK, Kassel-Calden Airport
EDVL, Holleberg Airport
EDVM, Hildesheim Airport
EDVN, Northeim Airport
EDVR, Rinteln Airport
EDVS, Salzgitter-Drutte Airport
EDVU, Uelzen Airport
EDVW, Hameln-Pyrmont Airport
EDVY, Porta Westfalica Airport
EDWA, Bordelum Airport
EDWB, Bremerhaven Airport
EDWC, Damme Airport
EDWD, Lemwerder Airport
EDWE, Emden Airport
EDWF, Leer-Papenburg Airport
EDWG, Wangerooge Airport
EDWH, Oldenburg-Hatten Airport
EDWI, Wilhelmshaven-Mariensiel Airport
EDWJ, Juist Airport
EDWK, Karlshofen Airport
EDWL, Langeoog Airport
EDWM, Weser-Wumme Airport
EDWN, Nordhorn-Lingen Airport
EDWO, Osnabruck-Atterheide Airport
EDWP, Wiefelstede/Conneforde Airport
EDWQ, Ganderkesee Atlas Airfield Airport
EDWR, Borkum Airport
EDWS, Norden-Norddeich Airport
EDWU, Varrelbusch Airport
EDWV, Verden-Scharnhorst Airport
EDWX, Westerstede-Felde Airport
EDWY, Norderney Airport
EDWZ, Baltrum Airport
EDXA, Achmer Airport
EDXB, Heide-Busum Airport
EDXC, Schleswig-Kropp Airport
EDXD, Bohmte-Bad Essen Airport
EDXE, Rheine-Eschendorf Airport
EDXF, Flensburg-Schaferhaus Airport
EDXG, Melle-Gronegau Airport
EDXH, Helgoland-Dune Airport
EDXI, Nienburg-Holzbalge Airport
EDXJ, Husum-Schwesing Airport
EDXK, Leck Airport
EDXL, Barsel Airport
EDXM, St. Michaelisdonn Airport
EDXN, Nordholz-Spieka Airport
EDXO, St. Peter-Ording Airport
EDXP, Harle Airport
EDXQ, Rotenburg (Wumme) Airport
EDXR, Rendsburg-Schachtholm Airport
EDXS, Seedorf Airport
EDXT, Sierksdorf/Hof Altona Airport
EDXU, Huttenbusch Airport
EDXW, Westerland Sylt Airport
EDXY, Wyk auf Fohr Airport
EDXZ, Kuhrstedt-Bederkesa Airport
EEEI, Amari Air Base
EEJI, Johvi Airfield
EEKA, Kardla Airport
EEKE, Kuressaare Airport
EEKU, Kihnu Airfield
EENA, Narva Estonia Airport
EENI, Nurmsi Airport
EEPU, Parnu Airport
EERA, Rapla Airfield
EERI, Ridali Airfield
EERU, Ruhnu Airfield
EETA, Tapa Airfield
EETN, Tallinn Airport
EETU, Tartu Airport
EEVI, Viljandi Airfield
EFAA, Aavahelukka Airport
EFAH, Ahmosuo Airport
EFAL, Alavus Airport
EFET, Enontekio Airport
EFEU, Eura Airport
EFFO, Forssa Airport
EFGE, Genbole Airport
EFHA, Halli Airport
EFHF, Helsinki Malmi Airport
EFHI, Haapamaki Airport
EFHJ, Haapajarvi Airport
EFHK, Helsinki Vantaa Airport
EFHL, Hailuoto Airport
EFHM, Hameenkyro Airport
EFHN, Hanko Airport
EFHP, Haapavesi Airport
EFHV, Hyvinkaa Airport
EFII, Iisalmi Airport
EFIK, Kiikala Airport
EFIM, Immola Airport
EFIT, Kitee Airport
EFIV, Ivalo Airport
EFJM, Jamijarvi Airport
EFJO, Joensuu Airport
EFJP, Jakalapaa Airport
EFJY, Jyvaskyla Airport
EFKA, Kauhava Airport
EFKE, Kemi-Tornio Airport
EFKG, Kumlinge Airport
EFKH, Kuhmo Airport
EFKI, Kajaani Airport
EFKJ, Kauhajoki Airport
EFKK, Kruunupyy Airport
EFKM, Kemijarvi Airport
EFKN, Kannus Airport
EFKO, Kalajoki Airport
EFKR, Karsamaki Airport
EFKS, Kuusamo Airport
EFKT, Kittila Airport
EFKU, Kuopio Airport
EFKV, Kivijarvi Airport
EFKY, Kymi Airport
EFLA, Lahti Vesivehmaa Airport
EFLL, Lapinlahti Airport
EFLN, Lieksa Nurmes Airport
EFLP, Lappeenranta Airport
EFMA, Mariehamn Airport
EFME, Menkijarvi Airport
EFMI, Mikkeli Airport
EFMN, Mantsala Airport
EFMP, Martiniiskonpalo Airport
EFNS, Savikko Airport
EFNU, Nummela Airport
EFOP, Oripaa Airport
EFOU, Oulu Airport
EFPA, Pokka Airport
EFPH, Pyhoselka Airport
EFPI, Piikajarvi Airport
EFPK, Pieksamaki Airport
EFPN, Punkaharju Airport
EFPO, Pori Airport
EFPU, Pudasjarvi Airport
EFPY, Pyhasalmi Airport
EFRA, Rautavaara Airport
EFRH, Raahe Pattijoki Airport
EFRN, Rantasalmi Airport
EFRO, Rovaniemi Airport
EFRU, Ranua Airport
EFRV, Kiuruvesi Airport
EFRY, Rayskala Airport
EFSA, Savonlinna Airport
EFSE, Selanpaa Airport
EFSI, Seinajoki Airport
EFSJ, Sonkajarvi Jyrkk Airport
EFSO, Sodankyla Airport
EFSU, Suomussalmi Airport
EFTO, Torbacka Airport
EFTP, Tampere-Pirkkala Airport
EFTS, Teisko Airport
EFTU, Turku Airport
EFUT, Utti Air Base
EFVA, Vaasa Airport
EFVI, Viitasaari Airport
EFVL, Vaala Airport
EFVP, Vampula Airport
EFVR, Varkaus Airport
EFVT, Sulkaharju Airport
EFVU, Vuotso Airport
EFWB, Wredeby Airport
EFYL, Ylivieska Airport
EGAA, Belfast International Airport
EGAB, St Angelo Airport
EGAC, George Best Belfast City Airport
EGAD, Newtownards Airport
EGAE, City of Derry Airport
EGAH, Halley Research Station
EGAL, Langford Lodge Airport
EGAR, Rothera Research Station
EGBB, Birmingham International Airport
EGBD, Derby Airfield
EGBE, Coventry Airport
EGBF, Bedford Aerodrome
EGBG, Leicester Airport
EGBJ, Gloucestershire Airport
EGBK, Sywell Aerodrome
EGBL, Long Marston Airfield
EGBM, Tatenhill Airfield
EGBN, Nottingham Airport
EGBO, Wolverhampton Halfpenny Green Airport
EGBP, Kemble Airport
EGBR, Breighton Airfield
EGBS, Shobdon Aerodrome
EGBT, Turweston Airport
EGBW, Wellesbourne Mountford Airport
EGCB, City Airport Manchester
EGCC, Manchester Airport
EGCD, Manchester Woodford Airport
EGCF, Sandtoft Airfield
EGCJ, Sherburn-In-Elmet Airfield
EGCK, Caernarfon Airport
EGCL, Fenland Airfield
EGCN, Robin Hood Doncaster Sheffield Airport
EGCO, Birkdale Sands Airport
EGCP, Thorne Airport
EGCR, Ashcroft Airfield
EGCS, Sturgate Airfield
EGCT, Tilstock Airfield
EGCV, Sleap Airport
EGCW, Welshpool Airport
EGDC, Royal Marines Base Chivenor Airport
EGDD, Bicester Airfield
EGDJ, Upavon Aerodrome
EGDL, RAF Lyneham
EGDM, MoD Boscombe Down Airport
EGDN, Netheravon Airfield
EGDO, Predannack Airport
EGDR, RNAS Culdrose
EGDT, Wroughton Airfield
EGDV, Hullavington Airfield
EGDW, Merryfield Airfield
EGDX, MOD St. Athan
EGDY, RNAS Yeovilton
EGEC, Campbeltown Airport
EGED, Eday Airport
EGEF, Fair Isle Airport
EGEH, Whalsay Airport
EGEL, Coll Airport
EGEN, North Ronaldsay Airport
EGEO, Oban Airport
EGEP, Papa Westray Airport
EGER, Stronsay Airport
EGES, Sanday Airport
EGET, Lerwick / Tingwall Airport
EGEW, Westray Airport
EGEY, Colonsay Airstrip
EGFA, Aberporth Airport
EGFE, Haverfordwest Airport
EGFF, Cardiff International Airport
EGFH, Swansea Airport
EGFP, Pembrey Airport
EGGD, Bristol International Airport
EGGP, Liverpool John Lennon Airport
EGGW, London Luton Airport
EGHA, Compton Abbas Aerodrome
EGHB, Maypole Airport
EGHC, Land's End Airport
EGHD, Plymouth City Airport
EGHE, St. Mary's Airport
EGHF, RNAS Lee-On-Solent
EGHG, Yeovil/Westland Aerodrome
EGHH, Bournemouth Airport
EGHI, Southampton Airport
EGHJ, Bembridge Airport
EGHL, Lasham Airport
EGHN, Isle of Wight / Sandown Airport
EGHO, Thruxton Aerodrome
EGHP, Popham Airport
EGHQ, Newquay Cornwall Airport
EGHR, Chichester/Goodwood Airport
EGHS, Henstridge Airfield
EGHU, Eaglescott Airfield
EGHY, Truro Airport
EGJA, Alderney Airport
EGJB, Guernsey Airport
EGJJ, Jersey Airport
EGKA, Shoreham Airport
EGKB, London Biggin Hill Airport
EGKE, Challock Airfield
EGKH, Lashenden (Headcorn) Airfield
EGKK, London Gatwick Airport
EGKL, Deanland Lewes Airport
EGKR, Redhill Aerodrome
EGLA, Bodmin Airfield
EGLC, London City Airport
EGLD, Denham Aerodrome
EGLF, Farnborough Airport
EGLG, Panshanger Aerodrome
EGLJ, Chalgrove Airport
EGLK, Blackbushe Airport
EGLL, London Heathrow Airport
EGLM, White Waltham Airfield
EGLP, Brimpton Airfield
EGLS, Old Sarum Airfield
EGMA, Fowlmere Airfield
EGMC, Southend Airport
EGMD, Lydd Airport
EGMF, Farthing Corner/Stoneacre Farm Airport
EGMH, Kent International Airport
EGMJ, Little Gransden Airfield
EGML, Damyns Hall Aerodrome
EGNA, Hucknall Airfield
EGNB, Brough Airport
EGNC, Carlisle Airport
EGND, HUDDERSFIELD (Crosland Moor)
EGNE, Retford Gamston Airport
EGNF, Netherthorpe Airfield
EGNG, Bagby Thirsk Prv Airport
EGNH, Blackpool International Airport
EGNI, Skegness (Ingoldmells) Aerodrome
EGNJ, Humberside Airport
EGNL, Barrow Walney Island Airport
EGNM, Leeds Bradford Airport
EGNO, Warton Airport
EGNR, Hawarden Airport
EGNS, Isle of Man Airport
EGNT, Newcastle Airport
EGNV, Durham Tees Valley Airport
EGNW, Wickenby Aerodrome
EGNX, East Midlands Airport
EGNY, Beverley/Linley Hill Airport
EGOD, Llanbedr Airport
EGOE, RAF Ternhill
EGOM, RAF Spadeadam
EGOQ, RAF Mona
EGOS, RAF Shawbury
EGOV, Anglesey Airport
EGOW, RAF Woodvale
EGOY, RAF West Freugh
EGPA, Kirkwall Airport
EGPB, Sumburgh Airport
EGPC, Wick Airport
EGPD, Aberdeen Dyce Airport
EGPE, Inverness Airport
EGPF, Glasgow International Airport
EGPG, Cumbernauld Airport
EGPH, Edinburgh Airport
EGPI, Islay Airport
EGPJ, Fife Airport
EGPK, Glasgow Prestwick Airport
EGPL, Benbecula Airport
EGPM, Scatsta Airport
EGPN, Dundee Airport
EGPO, Stornoway Airport
EGPR, Barra Airport
EGPT, Perth/Scone Airport
EGPU, Tiree Airport
EGPW, Unst Airport
EGPY, Dounreay/Thurso Airport
EGQB, Ballykelly Airport
EGQK, RAF Kinloss
EGQL, RAF Leuchars
EGQS, RAF Lossiemouth
EGSA, Shipdham Airfield
EGSC, Cambridge Airport
EGSF, Peterborough Business Airport
EGSG, Stapleford Aerodrome
EGSH, Norwich International Airport
EGSI, Mashland Airfield
EGSJ, Seething Airfield
EGSL, Andrewsfield Airport
EGSM, Beccles Airport
EGSN, Bourn Airport
EGSO, Crowfield Airfield
EGSP, Peterborough/Sibson Airport
EGSQ, Clacton Airport
EGSR, Earls Colne Airfield
EGSS, London Stansted Airport
EGST, Elmsett Airport
EGSU, Duxford Airport
EGSV, Old Buckenham Airport
EGSW, Newmarket Heath Airfield
EGSX, North Weald Airport
EGTA, Aylesbury/Thame Airport
EGTB, Wycombe Air Park
EGTC, Cranfield Airport
EGTD, Dunsfold Aerodrome
EGTE, Exeter International Airport
EGTF, Fairoaks Airport
EGTG, Bristol Filton Airport
EGTH, Old Warden Airfield
EGTK, Oxford (Kidlington) Airport
EGTN, Enstone Aerodrome
EGTO, Rochester Airport
EGTP, Perranporth Airfield
EGTR, Elstree Airfield
EGTU, Dunkeswell Airport
EGTW, Oaksey Park Airport
EGUB, RAF Benson
EGUD, RAF Abingdon
EGUK, Waterbeach Airfield
EGUL, RAF Lakenheath
EGUN, RAF Mildenhall
EGUO, Colerne Airport
EGUP, RAF Sculthorpe
EGUW, RAF Wattisham
EGUY, RAF Wyton
EGVA, RAF Fairford
EGVN, RAF Brize Norton
EGVO, RAF Odiham
EGVP, Middle Wallop Airfield
EGVT, Wethersfield Airport
EGWC, DCAE Cosford Airport
EGWE, RAF Henlow
EGWN, RAF Halton
EGWU, RAF Northolt
EGXC, RAF Coningsby
EGXD, RAF Dishforth
EGXE, Leeming Airport
EGXG, RAF Church Fenton
EGXH, RAF Honington
EGXJ, RAF Cottesmore
EGXP, RAF Scampton
EGXT, RAF Wittering
EGXU, RAF Linton-On-Ouse
EGXV, RAF Leconfield
EGXW, RAF Waddington
EGXY, RAF Syerston
EGXZ, RAF Topcliffe
EGYD, RAF Cranwell
EGYE, RAF Barkston Heath
EGYK, Elvington Airfield
EGYM, RAF Marham
EGYP, Mount Pleasant Airport
EHAL, Ameland Airport
EHAM, Amsterdam Airport Schiphol
EHBD, Budel Airport
EHBK, Maastricht Aachen Airport
EHDL, Deelen Air Base
EHDP, De Peel Air Base
EHDR, Drachten Airport
EHDS, Aero Club Salland
EHEH, Eindhoven Airport
EHGG, Eelde Airport
EHGR, Gilze Rijen Air Base
EHHO, Hoogeveen Airport
EHHV, Hilversum Airport
EHKD, De Kooy Airport
EHLE, Lelystad Airport
EHLW, Leeuwarden Air Base
EHMZ, Midden-Zeeland Airport
EHOW, Oostwold Airport
EHRD, Rotterdam Airport
EHSE, Seppe Airport
EHST, Stadskanaal Airport
EHTE, Teuge Airport
EHTL, Terlet Airport
EHTW, Twenthe Airport
EHTX, Texel Airport
EHVK, Volkel Air Base
